phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
5,6,22,9,5,28,9,6,37,11,6,46
5,7,21,9,6,26,9,6,35,11,5,38
9,4,20,9,5,30,9,7,35,1,5,37
0,0,0,11,3,17,1,4,35,1,5,42
5,5,30,7,6,38,1,5,40,1,5,44
9,5,30,9,6,40,9,8,45,1,5,43
9,7,28,9,9,35,9,10,42,11,7,43
9,8,32,9,9,34,9,11,43,11,6,47
9,9,31,9,10,41,9,11,46,1,5,43
9,8,34,9,10,40,9,10,45,1,5,43
9,7,33,9,9,41,9,10,46,11,6,52
9,9,42,9,11,50,9,12,53,1,6,53
9,11,46,9,13,52,9,15,56,11,7,56
9,11,42,9,13,49,9,14,58,1,7,58
9,11,41,9,12,48,9,14,58,1,6,60
9,12,40,9,14,42,9,17,65,11,8,71
9,15,44,9,17,51,9,19,71,11,8,67
9,18,47,9,20,56,9,19,69,11,8,64
9,20,51,9,20,59,9,19,70,1,7,64
9,20,54,9,20,55,9,19,66,11,7,64
9,20,61,9,20,59,9,19,72,9,9,72
9,20,53,9,20,52,9,20,66,11,7,56
9,20,51,9,20,50,9,19,70,11,7,60
9,20,45,9,20,40,9,19,64,11,7,57
9,20,43,9,20,44,9,19,67,11,8,60
9,20,53,9,20,52,9,19,70,11,7,65
9,20,58,9,20,57,9,19,73,11,8,69
9,20,50,9,20,49,9,19,67,11,7,60
9,20,57,9,20,58,9,19,72,9,8,67
9,20,54,9,20,54,9,19,71,11,7,61
9,20,61,9,20,60,9,20,75,1,7,67
9,20,62,9,20,59,9,19,64,1,6,55
9,20,62,9,20,60,9,19,67,1,7,60
9,20,63,9,20,58,9,20,72,9,14,79
9,20,60,9,20,52,9,19,71,15,14,69
9,20,71,9,20,54,9,19,72,15,12,73
9,20,66,9,20,53,9,19,69,15,11,66
9,20,65,9,20,55,9,19,77,9,12,80
9,20,57,9,20,43,9,19,69,5,9,70
9,20,58,9,20,48,9,19,73,9,11,75
9,20,61,9,20,53,9,19,65,11,7,60
9,20,60,9,20,55,9,19,64,9,12,62
9,20,51,9,20,49,9,19,57,11,7,58
9,20,49,9,20,48,9,19,56,12,7,53
9,20,62,9,20,60,9,19,67,9,13,71
9,20,55,9,20,57,9,19,64,1,7,69
9,20,61,9,20,65,9,19,72,9,13,78
9,20,55,9,20,60,9,19,67,1,8,72
9,20,67,9,20,70,9,19,71,9,16,76
9,20,55,9,20,60,9,19,62,1,7,62
9,20,56,9,20,59,9,19,67,1,8,63
9,20,50,9,20,52,9,19,63,1,7,62
9,20,52,9,20,57,9,19,64,9,13,68
0,0,0,11,3,17,1,4,29,11,6,44
5,5,29,7,6,37,1,5,33,1,5,45
7,5,29,7,5,39,9,5,33,1,5,41
5,4,26,7,4,27,9,5,32,11,5,37
5,4,28,9,6,29,9,6,32,1,5,36
9,5,30,9,7,35,9,7,36,11,6,40
